 t_index                      term   df
     595                 apprentic    3
     596                    appris    1
     597                  approach   49
     598                  appropri   18
     599                    approv   25
     600                  approxim   12
     601                     april   67
     602                   aprista    4
     603                     apron    1
     604                     aquil    2
     605                      arab   61
     606              arabamerican    2
     607                     arabi    1
     608                    arabia   71
     609                   arabian   44
     610               arabianborn    1
     611               arablanguag    3
     612                  arablook    1
     613                 arabspeak    1
     614                    arafat   16
     615                   arantxa    3
     616                     arazi    7
     617                    arbadi    1
     618                     arbit    1
     619                 arbitrari    2
     620               arbitrarili    1
     621                       arc    1
     622                      arch    2
     623                archaeolog    2
     624                archbishop    4
     625                    archer    1
     626                   archeri    4
     627                  archetyp    1
     628                     archi    5
     629                 archibald    1
     630                 architect    7
     631               architectur    4
     632                    arctic    6
     633                    ardent    4
     634                    arduou    1
     635                      area  184
     636                     arena   22
     637                     arent   16
     638                  argentin    1
     639                 argentina   10
     640                      argu   45
     641                   arguabl    2
     642                  argument   18
     643                       ari    1
     644                      arid    5
     645                      arif    1
     646                    arisen    1
     647                  arithmet    1
     648                   aritomi    4
     649                      ariz    6
     650                   arizona    7
     651                       ark    8
     652               arkadelphia    1
     653                     arkan    1
     654                   arkansa   28
     655               arkansasbas    1
     656                     arkin    2
     657                   arleigh    2
     658         arleighburkeclass    1
     659                     arlen    2
     660                 arlington    8
     661                       arm  132
     662                  armament    2
     663                  armbrist    1
     664                   armenia    2
     665                     armey    1
     666                      armi  136
     667                   armitag    1
     668                     armor   17
     669                    armori    3
     670                       arn    3
     671                    arnaud   17
     672                      arni    1
     673                      arno    1
     674                    arnold    3
     675                     arnot    1
     676                      aros    5
     677                    around  189
     678                     arous    1
     679                   arraign    2
     680                    arrang   38
     681                     array    5
     682                    arrear    1
     683                    arrest  109
     684                     arriv  180
     685                     arrog    3
     686                     arrow    4
     687                     arsen   10
     688                    arseni    1
     689                  arsonist    1
     690                       art    9
     691                  arthriti    1
     692                    arthur    4
     693                    articl    5
     694                   articul    1
     695                  artifact    1
     696                  artifici    4
     697                    artist    4
     698                    artudo    1
     699                    arturo    6
     700                     aruba    2
     701                   aryapov    1
     702                       asa    1
     703                     asahi    1
     704                    ascend    1
     705                    ascrib    4
     706                     asean    1
     707                       ash    4
     708                     asham    1
     709                  ashcroft   56
     710                  ashkroft    1
     711                     ashok    1
     712                     ashor    2
     713                    ashraf    1
     714                  ashshaab    1
     715                   ashtray    1
     716                      asia   22
     717                     asian   15
     718                 asiapacif   16
     719                      asid   30
     720                       ask  196
     721                    aspect   11
     722                     aspir    2
     723                     assad    1
     724                    assail    4
     725                     assam    6
     726                  assassin   21
     727                   assault   28
     728                   assembl   18
     729         assemblyforexport    1
     730                    assert   17
     731                    assess   48
     732                     asset   10
     733                    assign   24
     734                    assist   76
     735            assistedsuicid    1
     736                    associ  117
     737     associateturnedinform    3
     738                    assort    1
     739                     assum   38
     740                   assumpt    7
     741                     assur   35
     742                 assuredli    2
     743                  astakhov   12
     744                  asterisk    2
     745                  astonish    7
     746                   astound    2
     747                  astronom    1
     748                     astut    1
     749                    asylum   29
     750                  asymmetr    2
     751                      atal   13
     752                      atck    2
     753                       ate    4
     754                       atf    2
     755                    atfein    1
     756                       ath    1
     757                     athal    1
     758                    athlet    3
     759                    atlant   15
     760                   atlanta    6
     761                     atmat    1
     762                 atmospher   10
     763                      atom    4
     764                      atop   13
     765                       atp    3
     766                     atroc   10
     767                   atrophi    1
     768                     atsea    3
     769                    attach   15
     770                    attack  306
     771                    attain    1
     772                   attempt  112
     773                    attend   68
     774                    attent   64
     775                    attest    2
     776                   attitud   10
     777                  attorney   58
     778                   attract   15
     779                  attribut   12
     780                    attrit    1
     781                     atwan    1
     782                    aubrey   19
     783                     aubri    5
     784                   audienc   16
     785                     audio    4
     786                  audiotap    1
     787                   auditor    5
     788                auditorium    1
     789                       aug   33
     790                   augment    1
     791                    august   32
     792                      aunt    2
     793                       aur    5
     794                      aura    1
     795                    aurora    4
     796                      ausi    1
     797                     aussi    9
     798                    auster    2
     799                    austin   18
     800                 australia   23
     801                australian   72
     802                   austria    3
     803                  austrian    1
     804           austrohungarian    1
     805                   authent    2
     806                    author  255
     807             authoritarian   27
     808                      auto    1
     809                  autocrat   27
     810                 autograph    1
     811                     autom    1
     812                   automat   18
     813                 automobil    4
     814                   autonom    1
     815                  autonomi    3
     816                 autopilot    1
     817                   autopsi    1
     818                    autumn    2
     819                     avail   44
     820                     avala    1
     821                  avalanch    1
     822                       ave    1
     823                     aveng    7
     824                     avent    1
     825                     avenu    4
     826                    averag   14
     827                     avert    6
     828                     aviat    3
     829                      aviv    4
     830                     avner    2
     831                     avoid   59
     832                      avow    1
     833                        aw   10
     834                      awad    2
     835                     await   26
     836                    awaken    2
     837                      awar   18
     838                     award    9
     839                      away  166
     840                       awe    3
     841                    aweigh    1
     842                 awestruck    1
     843                   awkward    4
     844                       awn    4
     845                      awok    1
     846                      axam    1
     847                       axe    1
     848                 ayatollah    1
     849                   aykroyd    1
     850                     ayman    5
     851                   aynaoui    1
     852                       ayr    1
     853                     ayyam    1
     854                      aziz    1
     855                      azul    1
     856                    azulay    2
     857                   babenko    2
     858                      babi   14
     859                    babkin    6
     860                     baboa    1
     861                      back  357
     862                     backa    1
     863              backandforth    1
     864                    backbo    1
     865                 backcourt    1
     866                  backdrop    4
     867                    backer   14
     868                   backfir    5
     869                background    4
     870                  backhand   14
     871                    backho    1
     872                  backlash    3
     873                  backstop    2
     874                backtoback    5
     875                    backup    2
     876                  backward    3
     877                  backyard    1
     878                     bacon   18
     879                       bad   37
     880                      badg    3
     881                     badli   39
     882                  badrasen    5
     883                     baffl    2
     884                       bag   14
     885                     bagad    1
     886                    baggag    1
     887                   baghbel    1
     888                   baghdad    2
     889                    bahgbo    5
     890                   bahrain   34
     891                bahrainbas    3
     892                       bai    1
     893                 baijubahi    2
     894                      bail    4
     895                    bailey    6
     896                     baird    1
     897                    bairnt    1
     898                   bakarec    3
     899                      bake    2
     900                     baken    1
     901                     baker    5
     902                 bakhshish    1
     903                     bakri    5
     904                    balanc   20
     905                   balawat    1
     906                  balcacer    2
     907                   balconi   11
     908                      bald    1
     909               balintkurti    1
     910                      balk    4
     911                    balkan   25
     912                      ball   29
     913                   ballard    1
     914                   ballast    2
